full_text,sentiment
sekedar diketahui data dinkes pemkab sumenep angka stunting kabupaten pada 2022 mencapai 21 6 total jumlah anak wilayah menurun 7 4 dibanding 2021 mencapai 29 0 bismillahmelayani sumenep madura madura jawa timur,neutral
kanitbinpolmas ipda suryanti memimpin pelaksanaan kegiatan pemberian bantuan makanan tambahan pmt anak kalurahan triharjo bendungan wate rangka optimalisasi penanganan stunting polres kulonprogo,neutral
bkpsdm pekanbaru salurkan bantuan makanan anak stunting badan kepegawaian pengembangan sumber daya manusia bkpsdm kota pekanbaru menyalurkan bantuan makanan bergizi anak stunting kelurahan pesisir 5 mei,neutral
14 keluarga anak berisiko stunting diasuh kecamatan bukit raya pekanbaru sebanyak 14 keluarga anaknya berisiko stunting diasuh kecamatan bukit raya pekanbaru anakanak berisiko stunting diasuh selama enam bulan camat,neutral
kadis perkim pekanbaru salurkan bantuan rumah anak asuh stunting sail pemko pekanbaru sedang giat menekan angka balita terdampak sunting gangguan pertumbuhan salah satu program pencegahan adalah penyaluran,neutral
waktu ilmu gizi dosenku cerita masalah stunting sangat menyeramkan anak tidak mendapatkan gizi maksimal bisa penyakit turunan generasi selanjutnya lalu bukan masyarakat menengah kebawah terdampak anak pejabat pernah,negative
mau anak bebas stunting perbanyak makan ikan mengandung asam amino,neutral
babinsa laksananakan pengecekan a anak stunting kecamatan lubuk,neutral
serda mayus maruli kunjungi berikan bantuan anak penderita stunting kelurahan minas jaya,neutral
bansos ayam telur disalurkan keluarga penerima manfaat kpm memiliki anak balita berisiko stunting banyuwangi tercatat 9948 kpm,neutral
kapòlres ibu bayangkari polres barito kuala menjadi duta bapak ibu anak asuh stunting,neutral
dinas kesehatan kota kediri mencatat angka stunting tergolong tinggi menekannya banyak upaya dilakukan lantas menyebabkan angka masih tinggi,neutral
intervensi sebanyak 2246 anak stunting batola penjabat bupati batola apresia duta sahkan bapak ibu asuh stunting,neutral
pengukuhan dandim 0726sukoharjo bapak asuh bupati sukoharjo ibu asuh anak stunting sukoharjo tniad suaradiponegoro tnikuatbersamarakyat,neutral
binjai 08 mei 2023 bhabinkamtibmas kelurahan pujidadi kecamatanbinjai selatan aipda tpmarbun melaksanakan sambangdds puskesmas pembantu kelpujidadi rangka pengumpulan data stunting anak kelurahan pujidadi hari senin tanggal 08052023,neutral
miris melihat resep² demam batuk pilek bertebaran dexamethasone methylprednisolone prednisone hmmm klu pasien anak enak enak keluhan jauh brkurang jangka panjang stunting sekunder,positive
bupati achmadfauzi_wy mlalui pemkab sumenep bagikan paket bantuan pangan pemerintah kpd 27163 keluarga berisiko stunting ntuk menjaga pemenuhan gizi mencegah kekerdilan anak bantuan diberikan 27 kecamatan,neutral
kasian anak stunting gt dah,negative
bunda paud tabanan rai wahyuni sanjaya membagikan pmt ape anak paud tk kecamatan penebel baturiti kegiatan upaya pencegahan stunting menyasar 100 siswa penebel 69 siswa baturiti,neutral
dilaksanakan rembuk stunting festival pengukuhan ibu h etty suryani se mm bupati sukoharjo ibu asuh anak stunting sukoharjo letkol czi slamet riyadi se dandim 0726sukoharjo bapak asuh anak stunting sukoharjo minggu 070523,neutral
pengukuhan h etty suryani se mm bupati sukoharjo ibu asuh anak stunting sukoharjo letkol czi slamet riyadi se dandim 0726sukoharjo bapak asuh anak stunting sukoharjo hasto wardoyo spog kepala bkkbn,neutral
sosmedkeras salah satu kontributor anak stunting,neutral
anonblobfish sel telur sejuta hamil suami phk bisa gagal anak beranak gizi buruk stunting,negative
waw risiko stunting kecamatan samarinda seberang capai 5536 anak samarinda menujupilwali2020 kalimantantimur bontang sangatta bulungan malinau kukar balikpapan penajam ppu ibukotabaru,neutral
abu_waras trlaksana yohanes cuma pembagian sumber daya berupa hibah 63 milyar bunda paud plus hibah hibah ormas preman selebihnya zonk kesemakmuran kesetaraan keadilan anak sd putus sekolah trtinggi indonesia stunting kerja nyata fakta,negative
kepala dinas kesehatan lampung reihana menyebutkan makanan mengandung protein hewani mencegah tengkes stunting anak salah satu jenis makanan adalah telur proteinhewani stunting lampungpostid,neutral
ganjaran_app ganjarpranowo ayo perangi stunting anak anak bebas bergerak aktif stunting,neutral
lembaga keagamaan memberikan bimbingan bagaimana mempersiapkan rumah tangga menjadi ibu sehat akan melahirkan anakanak sehat bebas stunting anggota dprd gumas iceu p golkarindonesia partaigolkar,neutral
genosida semua anak stunting orang tua afford nutrisi bayi sampe stunting,negative
stunting kesehatan mental anak hlkompasiana,neutral
krisis air bersih sumba barat daya ntt dianggap berdampak angka stunting anak usia balita,neutral
tweetsbyfarah hamil bekerja diskusi lepas teman2 kantor diri bilang abs lahiran mau full time mom selama kerja urusin program stunting pengen urusin anak full pengasuh bantuan orgtua langsung diliat sinis dong,negative
asuhan1nfinite ekokuntadhi1 berarti cebol botol kecap ekokuntadhi1 buang anak istrinya pantes badan otak stunting,negative
iman775 sam_ardi knp concern gula anak2 trbiasa kena gula berlebih potensi stunting diabetesnya tinggi kasian anak2 jaman skrg makanan minuman pabrikan gulanya banyak aplg anak cnderung suka makanan minuman manis,negative
bantuan bahan makanan tambahan diberikan bentuk upaya mencegah bertambahnya angka stunting balita anak bantuan tersebut diserahkan simbolis bupati kudus hartopo bertempat aula balai desa garung lor kaliwungu kudus,neutral
pernikahan dini pengaruhi stunting ratusan anak sukoharjo ajukan dispensasi nikah timlo net sukoharjo sukoharjomakmur beritasukoharjo,neutral
gua takut kelihatan kayak anak stunting dibandingin sama wonu,negative
pengukuhan dandim 0726sukoharjo bapak asuh sukoharjo sukoharjomakmur beritasukoharjo,neutral
pengukuhan dandim 0726sukoharjo bapak asuh bupati sukoharjo ibu asuh anak stunting sukoharjo,neutral
bahaya tradisi tarak ibu hamil ibu pasca melahirkan hingga menyebabkan stunting anak userstory,negative
pernikahan dini pengaruhi stunting ratusan anak sukoharjo ajukan dispensasi nikah,neutral
sangat penting mengurangi risiko infeksi saluran pencernaan penyakit diare dapat menyebabkan kekurangan gizi stunting anakanak wcforall cegahstunting ksp,neutral
kodim klaten gandeng algae park atasi anak balita stunting sidowayah,neutral
aksara_meraki suka suka bentuk fisiologis tertentu konsekuensinya misal cewe terlalu gemuk susah punya anak bukan mitos stunting mengurangi peluang kerja masa depan bukan mitos anggap anak gemuk lucu sehat masa depan lucu samsek,negative
7553 keluarga kabupaten madiun berisiko miliki anak stunting madiun sebanyak 7553 keluarga kabupaten madiun berisiko stunting diungkapkan pendidikankesehatan kabupatenmadiun stunting via beritajatimcom,neutral
tanyakanrl hmm anak smp nikah melahirkan banyak masalah masalah kdrt perceraian anak stunting kematian ibu muda pengangguran kemiskinan banyak mending sekolah dah bener masi smp dah mau nikah wkwk org umur nikah gamau nikah bocah smp malah kebelet nikah,negative
pengen gue jadiin penelitian gizi mumpung pasca gempa kepikiran mau judul so far banyak anak wasting stunting blm terlaporkan pr banyak bingung mulai mn butuh konsultasi sm senior2 gizi masyarakat euy,negative
cara mencegah stunting anak wajib diketahui orang tua doktersehat doktersehatcom,neutral
adiprajus betul majanya jangan skali kali pilih anies baswedan rekam jejak 5 tahun memimpin jakarta rakyat miskin tersentuh balita gizi buruk stunting anak putus sekolah kemiskinan meningkat ngeri,negative
ambisi citacita tinggi artinya luas banget musti hal karir tinggi punya anak sehat jauh stunting citacita punya olshop sukses pengen masak style chef belajar ilmu baru citacita,positive
pencegahan stunting alias gangguan pertumbuhan dilakukan sejak awal bahkan sejak menjadi orang tua tak berdampak kesehatan anak stunting berdampak perekonomian negara masa depan generasi penerus bangsa,negative
bhabinkamtibmas karosimalungun polsek siantar selatan menghadiri kegiatan dashat dapur sehat atasi stunting dilaksanakan kantor kelurahan simalungun jlsabang merauke kota pematang siantar rangka memenuhi kebutuhan gizi anak stunting bumilbusui,neutral
bhabinkamtibmas kecamatan pematang jaya polsek pangkalan susu brigadir rico surya ardana d melaksanakan kegiatan sosialisasi pencegahan stunting bersama perangkat desa ibu anak salah satunya berperilaku hidup bersih sehat makan makanan bergizi,neutral
gelar komsos sertu aldin aprilia babinsa koramil 143001lasolo pantau anak stunting salah satu warga binaannya desa wawoluri kecmotui kabkonawe utara tnimengabdidanmembangunbersamarakyat,neutral
pemerintah kota lhokseumawe dinas pemberdayaan perempuan perlindungan anak pengendalian penduduk keluarga berencana menggelar program dapur sehat atasi stunting dashat percepatan penurunan stunting kota lhokseumawe selasa 095,neutral
kapolres alor tatap muka bersama orang tua anak stunting gelaran jumat curhat baca selengkapnya jumatcurhat,neutral
kompascom makan gemuk banyak stunting anakanak wong cilik nothing,negative
cegah stunting anak pln nusantara power bina masyarakat,neutral
tuban babinsa bulu meduro koramil 081112 bancar serda subekti berikan suplemen tambahan anakanak masuk kategori stunting wilayah binaannya desa bulu meduro kec bancar kab tuban kamis 11052023,neutral
malah dianjurkan seminggu sekali pls terhindar anemia misal mau punya anak terhindar stunting,neutral
serda mohamad saif babinsa desa bilibili koramil 140903btm menghadiri kegiatan dapur sehat atasi stunting dashat berjumlah 22 orang anak balita 21 ibu hamil 1 orang bertempat posko dapur sehat dusun borongrea desa bilibili kec bontomarannu kab gowa,neutral
babinsa sertu kasmudi anggota posramil donridonri kodim 1423soppeng korem 141tp melaksanakan pendampingan posyandu memantau perkembangan anak stunting bersama tim kesehatan puskesmas leworeng maddumpa dusun dareajue desa lalabatariaja kec donridonri,neutral
babinsa koramil 142602polsel kodim 1426takalar korem 141tp desa moncong komba serda safri melaksanakan pendampingan kegiatan penyuluhan kelas ibu hamil pemberian makanan anak stunting desa moncong komba kec polsel kab takalar sabtu 1352023,neutral
peduli stunting babinsa door to door datangi wilayah binaan babinsa kel kampung rawa koramil 08jb serda yuliansyah serda agus triyono melaksanakan pendataan perkembangan anakanak tergolong stunting wilayah rw 02 kel kampung rawa johar baru jakarta pusat,neutral
implementasi paud hi erat kaitannya pengentasan permasalahan stunting keadaan kekurangan gizi anak menjadi strategi mendeteksi permasalah kesehatan kesejahteraan lainnya dimungkinkan dialami anak didik 𝙄𝙆𝙇𝘼𝙉 0821 9996 8594,neutral
danoneindonesia menginisiasi rumah bunda sehat bogor jakarta timur merupakan program pemberdayaan masyarakat berbasis komunitas bergerak dibidang kesehatan ibu anak pemberdayaan ekonomi dukung upaya pemerintah turunkan stunting 142024 bersamacegahstunting,neutral
sertu jon malelak babinsa desa tempelrejo melaksanakan bakti tni pendampingan giat posyandu kenanga 2 dukuh ngrungkap rt 06 desa tempelrejo kegiatan penimbangan pemberian vitamin a pengarahan pemenuhan gizi anak mencegah stunting,neutral
stunting hingga kini menjadi masalah serius indonesia stunting merupakan kondisi gagal tumbuh anak ditandai tinggi badan tidak proporsional usia anak umumnya,negative
inget dl sma gw ines saarah pernah sampe puskesmas bwt ikut seminar stunting sm pentingnya ttd akhirnya disuru in anak nolak,negative
sekdako pekanbaru bapak asuh 3 anak berisiko stunting marpoyan damai pemko pekanbaru memberikan bantuan tiga anak berisiko stunting kecamatan marpoyan damai kamis 1152023 ketiga anak stunting penerima,neutral
kabag prokopim kabag umum setdako pekanbaru salurkan makanan anak berisiko stunting kepala bagian kabag sekretariat daerah kota setdako pekanbaru menyalurkan makan bergizi anak berisiko stunting,neutral
kepala damkar pekanbaru salurkan bantuan makanan anak stunting sekip kepala dinas pemadam kebakaran penyelamatan damkar kota pekanbaru burhan gurning mengajukan diri menjadi bapak asuh anakanak berisiko,neutral
pisan inimah tidak anemia punya anak mengurangi risiko bblr stunting,neutral
yu rutin minum ttd remaja putri lemah letih lesu loyo lunglai anakanak kalian masa depan terhindar stunting,negative
babinsa koptu i ketut budiasa melakukan pengecekan anak stunting,neutral
pencegahan stunting dilakukan pelatihan pengolahan hasil perikanan dikarenakan ikan merupakan sumber protein sangat dibutuhkan kelompok balita tumbuh kembang otak akan mempengaruhi kecerdasan anak,neutral
babinsa koramil jatibarang terus pantau anak stunting hingga beri nutrisi,neutral
babinsa koramil 01 siak bersama bidan terus melaksanakan pengecekan anak stunting,neutral
hampir 30 persen anak kabupaten pesisir selatan idap stunting wabup minta perhatian khusus,neutral
1 keluarga ibu masriyah tinggal wilayah kedinding surabaya memiliki 4 orang anak anak paling besar smp anak paling kecil usia 11 bulan terkena stunting,neutral
dukung salah satu concern prabowo anakanak penanganan program stunting,neutral
babinsa kelurahan sidotopo melaksanakan pendampingan pemberian kudapan makanan ringan pengecekan kondisi anak stunting,neutral
cegah stunting pemdes harapan jaya laksanakan pelatihan kesehatan ibu anak,neutral
idk but imo kultur sebagian daerah patriarki indo penyumbang kasus anak stunting indo diduluin bapaknya bahkan hamil bagian makanan bergizi daging suami makan,negative
tanyakanrl cambodia bukannya negara miskin angka stunting anak cukup tinggi disana hampir sma kya indo,negative
program bapak asuh anak stunting salah satu program percepatan penurunan stunting kab grobogan ayo cegah stunting sumarnigrobogan moh_sumarsono dp3akb dinkes_grobogan stunting grobogan purwodadi,neutral
kritticat siniii nderrr aku sering ngerjain makalah kedokteran nihh free dapus dafis kata pengantar cover sering ngerjain tugas anak kedokteran mulai jastul essay temtang stunting langsung wa yaaaa,positive
pdhl bupati indramayu nina agustina mengimbau aparatur sipil negara asn kabupaten indramayu menjadi orangtua asuh anak stunting menghimbau bukan mewajibkan bukan sbg syarat terbitnya sip stunting kemiskinan kemiskinan kebodohan,neutral
program keladi sagu jangkau penderita ispa hingga anak stunting,neutral
stunting menyebabkan anak memiliki tinggi badan lebih pendek dibandingkan anakanak seusia dengannya stunting menyebabkan keterlambatan perkembangan cara berpikir,negative
stunting sendiri sebenarnya merupakan keadaan berhentinya pertumbuhan anak penyebab utama stunting kekurangan gizi waktu cukup lama pemberhentian pertumbuhan meliputi pertumbuhan tubuh otak,negative
kaget kaget soalnya populasi warga indo padet nikah muda banyak banget beberapa temen gua umurnya sepantaran gua 21an punya anak selain cerai nikah muda bisa faktor anak stunting sama kemiskinan struktural,negative
rangka menurunkan angka stunting gizi buruk anak gubernur jawa tengah ganjar pranowo mendorong perkembangan pilot project penanganan stunting program beras fortifikasi,neutral
stunting sebenarnya dapat dicegah orang tua mengambil langkahlangkah penting dua tahun pertama kehidupan seorang anak anak mendapatkan makanan perawatan tepat selama waktu khusus efeknya sangat berbahaya,negative
kwangyacityzen foxieaby mencegah stunting anak,neutral
anies responsif kesehatan balita anakanak terbebas stunting,neutral
stunting anak bukan cuma pengaruhi tingginya badan lho ma,negative
laknatakuun partaisocmed minset banyak anak banyak rezeki melahirkan generasi stunting kayak orang wkwkw,negative
wali kota madiun maidi menyebutkan kasus stunting wilayahnya sebanyak 400 anak hal bukan kemiskinan,neutral
hwangnieyaa tanyakanrl setan jin sma kak api cm beda bahan bakar satu gas elpiji satunya kayu bakar anak jinnya stunting kak,negative
kepala dinas pemberdayaan perempuan perlindungan anak kependudukan dp3ak provinsi jatim restu novi widiani hadir acara mengatakan alumni unair mendukung satgas stunting telah dibentuk,neutral
bismillahirrahmanirrahim لآإله إلا الله laa hawla wa laa quwwata illa billaah hasbunallah wanimal wakil anak stunting madiun 400 orang wali kota maidi bukan kemiskinan,positive
polres simalungun peduli cegah stunting 110 anak asuh diberi makan tambahan,neutral
basuh santing upaya kelurahan karangasem laweyan bebaskan anak stunting,neutral
angkat bapak asuh suplai makanan bergizi 90 hari basuh santing upaya kelurahan karangasem laweyan bebaskan anak stunting bapakasuh stunting,neutral
banyuwangi pecegahann stunting gagal tumbuh anak banyuwangi dibuat beda tak sekadar pemenuhan gizi pasokan air bersih menjadi salah satu pendukung mencegah stunting terkait puluhan infrastruktur air bersih,neutral
tanyarlfes aku mulai rutin minum ttd pernah diingetin bidan cewe rajin minum ttd merencanakan kehamilan menyebabkan anak stunting belum terlalu aware aku pingsan haid sekarang rajin minum badan lebih enak tidak pusing,positive
serasa anak kesmas dituntut bisa semua medis non medis manajemen perencanan pengarsipan analisis data peta sampe pi panjat pohon pasang spanduk stunting,neutral
bahan makanan kaya nutrisi pencegah stunting harus mahal bisa didapat bahan sederhana salah satunya telur meskipun sederhana terdapat berbagai manfaat konsumsi telur cegah anak stunting efektif,positive
bantuan asistensi rehabilitasi sosial atensi dikucurkan sebesar rp88 juta terdiri bantuan pencegahan stunting bantuan anak lansia penyandang disablitas,neutral
warga perlu khawatir stunting sekali dicegah mulai kesehatan ibu ayah masa awal pernikahan 1000 hari pertama kehidupan sang anak pada masa kehamilan ibu hingga pemberian mpasi anak intensif penuh nutrisi,neutral
noonreader alasannya ibunya motor nganterin kota ke kota penyalur modal ngawinin anak aneh kemiskinan struktural ya raja disana benerin mindset sana jadinya anak2 stunting hama,negative
